Execution,Avg_Accuracy,Avg_Precision,Avg_Recall,Avg_F1_Score
1,0.8127659574468085,0.9407203907203907,0.6413793103448275,0.7556973885345627
2,0.7893617021276595,0.9246931361927219,0.6114942528735632,0.7165170795551787
3,0.7978723404255319,0.8941228358978499,0.6735632183908047,0.7513316462212518
4,0.7872340425531915,0.8952488929337399,0.6275862068965516,0.7280518880037725
5,0.778723404255319,0.8833988046710346,0.6229885057471265,0.7201951609977099
6,0.8148936170212766,0.8635180590019299,0.728735632183908,0.7840221598245415
7,0.824468085106383,0.9309969907344804,0.6758620689655173,0.779267370253905
8,0.8106382978723404,0.9204670694705241,0.6620689655172414,0.7605308892654655
9,0.8202127659574469,0.9143699788832919,0.6827586206896552,0.7728047931548592
10,0.8063829787234041,0.9245613637277957,0.6413793103448275,0.7531285272611277
11,0.8191489361702127,0.9107328913591406,0.6804597701149426,0.7765771178477732
12,0.8202127659574469,0.9189334018147577,0.6735632183908045,0.7763743832330899
13,0.8138297872340425,0.8884101620718354,0.7011494252873562,0.7743909511407406
14,0.8095744680851062,0.9330940390728241,0.639080459770115,0.755610966046995
15,0.7819148936170212,0.9292469429535771,0.593103448275862,0.7081766585174127
16,0.8127659574468084,0.9380227394202352,0.639080459770115,0.7595489515470828
17,0.7840425531914894,0.8891994784876142,0.639080459770115,0.7257018735886877
18,0.8212765957446809,0.9120036959895451,0.6873563218390804,0.7799709475132325
19,0.8063829787234044,0.9487355670525786,0.6206896551724138,0.7461730713085167
20,0.8265957446808511,0.9075207511556815,0.7034482758620689,0.7888195800687535
21,0.8085106382978724,0.9489048895317508,0.6252873563218391,0.7464620564620564
22,0.803191489361702,0.8937694487422423,0.6988505747126437,0.7651814555120182
23,0.7872340425531915,0.9048319859209151,0.6413793103448275,0.7328724052444724
24,0.7861702127659573,0.9126342447225302,0.6022988505747127,0.7195121719824448
25,0.8138297872340425,0.9508095950694264,0.6344827586206897,0.75530328150212
26,0.7904255319148936,0.9501893287435456,0.5908045977011495,0.7034396411979185
27,0.8223404255319149,0.8784196347179506,0.7218390804597701,0.7884404982654932
28,0.8085106382978724,0.875255626622722,0.7126436781609196,0.7730393874715572
29,0.8127659574468085,0.8400724262014745,0.7632183908045976,0.789558021127517
30,0.798936170212766,0.9597290327267445,0.5931034482758621,0.7312855880708966
